"First","Second","Third","Class","Age","AvgSleepTime","LastNightSleep","HoursAwake","Fatigue","Stress","Distraction","NoiseLevel","Temperature","VideoGamePlay","SportsPlay","ShootingGames","AvgHoursExercise","Gamer","CaffeineIntake","AlcoholIntake","VisualAcuity","PrimarilyHand","UsePrimaryHand","Cautious","InputDevice","RefreshRate","DeviceOS","WiFi"
605,640,605,"Sophomore",20,8,7,9,"Slightly Fatigued","Moderate","No",1,"Neutral","Daily","Never","Beginner",0,"Yes","No","No","Good","Right hand","Yes","Moderately cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
911,710,513,"Graduate student",26,6,7,0,"Slightly Fatigued","Low","Yes",1,"Warm","Rarely","Rarely","Beginner",1,"No","No","No","Excellent","Left hand","No","Moderately cautious","Mouse","Standard","Laptop-Windows","Stable"
598,588,556,"Sophomore",20,6,10,3,"Slightly Fatigued","Low","No",1,"Neutral","Rarely","Several times a month","Beginner",4,"No","No","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-macOS","Stable"
887,662,661,"Junior",21,8,9,4,"Slightly Fatigued","Moderate","Yes",2,"Warm","Several times a month","Rarely","Beginner",2,"No","No","No","Good","Right hand","Yes","Slightly cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
1049,823,793,"Junior",21,7,1,0,"Slightly Fatigued","Moderate","No",2,"Neutral","Rarely","Rarely","Beginner",3,"No","No","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Mid-Range","Desktopcomputer-macOS","Stable"
406,439,383,"Graduate student",24,7,7,14,"Very fatigued","Moderate","No",2,"Neutral","Several times a week","Once a week","Intermediate",12,"Yes","No","No","Good","Right hand","Yes","Moderately cautious","Mouse","High","Desktopcomputer-Windows","Stable"
609,652,620,"Sophomore",20,10,7,3,"Moderately fatigued","Moderate","No",2,"Neutral","Several times a week","Several times a month","Intermediate",6,"Yes","No","No","Poor","Right hand","Yes","Slightly cautious","Trackpad","Mid-Range","Laptop-Windows","Stable"
681,652,583,"Junior",20,8,7,3,"Slightly Fatigued","Very Low","No",2,"Neutral","Never","Never","Expert",5,"No","No","No","Excellent","Right hand","Yes","Slightly cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
884,733,536,"Junior",20,8,8,5,"Slightly Fatigued","Moderate","No",2,"Neutral","Never","Several times a month","None",5,"No","No","No","Excellent","Right hand","Yes","Moderately cautious","Mouse","Mid-Range","Laptop-Windows","Stable"
726,680,676,"Sophomore",20,7,8,2,"Slightly Fatigued","Very Low","No",2,"Neutral","Never","Rarely","None",3,"No","No","No","Average","Right hand","Yes","Very cautious","Trackpad","Standard","Laptop-macOS","Stable"
630,564,711,"Senior",21,6.5,6.5,1,"Not fatigued at all","Low","No",2,"Neutral","Daily","Several times a week","Beginner",8,"No","No","No","Average","Right hand","Yes","Slightly cautious","Trackpad","Standard","Laptop-Windows","Stable"
476,439,433,"Junior",20,6,4,13,"Very fatigued","Moderate","No",2,"Neutral","Rarely","Rarely","Beginner",1,"Yes","No","No","Excellent","Right hand","Yes","Moderately cautious","Mouse","High","Desktopcomputer-Windows","Stable"
588,543,527,"Senior",22,4,3,21,"Moderately fatigued","Very High","No",2,"Neutral","Once a week","Several times a month","Intermediate",7,"No","No","No","Good","Right hand","Yes","Moderately cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
424,404,385,"Senior",21,8,7,7,"Slightly Fatigued","Very Low","No",2,"Neutral","Daily","Daily","Advanced",2,"Yes","No","No","Excellent","Right hand","Yes","Slightly cautious","Mouse","High","Desktopcomputer-Windows","Stable"
575,509,528,"Senior",21,7,6,4,"Not fatigued at all","Low","No",2,"Neutral","Several times a week","Several times a week","Beginner",10,"Yes","No","No","Excellent","Right hand","Yes","Moderately cautious","Mouse","Standard","Desktopcomputer-Windows","Stable"
666,634,664,"Junior",20,6,4,6,"Moderately fatigued","Very High","No",2,"Neutral","Rarely","Rarely","None",2,"No","No","No","Excellent","Right hand","Yes","Very cautious","Trackpad","Standard","Laptop-macOS","Stable"
871,778,727,"Senior",24,7,8,7,"Not fatigued at all","Very Low","No",2,"Neutral","Several times a month","Never","Beginner",3,"Yes","Yes","No","Excellent","Right hand","Yes","Very cautious","Trackpad","Standard","Laptop-Windows","Stable"
361,350,371,"Junior",22,8,7,14,"Slightly Fatigued","Very Low","No",2,"Neutral","Once a week","Several times a week","Advanced",8,"No","No","No","Good","Right hand","No","Very cautious","Mouse","High","Desktopcomputer-Windows","Stable"
522,550,493,"Sophomore",20,6.5,8,11,"Slightly Fatigued","Low","No",2,"Neutral","Several times a week","Rarely","Intermediate",0.5,"Yes","No","No","Good","Right hand","Yes","Very cautious","Touch screen","Standard","Laptop-Windows","Stable"
492,437,425,"Sophomore",20,6,5,18,"Very fatigued","Low","No",2,"Neutral","Several times a week","Rarely","Advanced",4,"Yes","Yes","No","Good","Right hand","Yes","Moderately cautious","Mouse","High","Desktopcomputer-Windows","Stable"
450,406,412,"Sophomore",20,7,7,10,"Moderately fatigued","Moderate","No",2,"Neutral","Several times a month","Rarely","Intermediate",2,"Yes","No","No","Good","Right hand","Yes","Very cautious","Mouse","High","Desktopcomputer-Windows","Stable"
446,422,436,"Senior",21,7,8,6,"Slightly Fatigued","Low","No",2,"Neutral","Several times a week","Several times a week","Intermediate",4,"Yes","No","No","Good","Right hand","Yes","Moderately cautious","Mouse","Standard","Laptop-Windows","Stable"
680,688,626,"Junior",20,10,10,12,"Very fatigued","Moderate","No",2,"Neutral","Several times a week","Rarely","Beginner",0,"No","Yes","No","Excellent","Right hand","Yes","Slightly cautious","Trackpad","High","Laptop-macOS","Stable"
430,468,444,"Junior",20,6,6.5,11.5,"Moderately fatigued","High","No",2,"Neutral","Several times a week","Several times a week","Advanced",1,"Yes","No","No","Excellent","Right hand","Yes","Moderately cautious","Mouse","High","Desktopcomputer-Windows","Stable"
618,567,615,"Junior",21,7.5,7,5.8,"Moderately fatigued","Very Low","No",2,"Warm","Daily","Rarely","Beginner",0.5,"Yes","No","No","Good","Right hand","Yes","Extremely cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
496,528,478,"Sophomore",20,7,7,3,"Not fatigued at all","Moderate","No",2,"Cold","Several times a month","Several times a week","Intermediate",10,"No","No","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-macOS","Stable"
