"First","Second","Third","Class","Age","AvgSleepTime","LastNightSleep","HoursAwake","Fatigue","Stress","Distraction","NoiseLevel","Temperature","VideoGamePlay","SportsPlay","ShootingGames","AvgHoursExercise","Gamer","CaffeineIntake","AlcoholIntake","VisualAcuity","PrimarilyHand","UsePrimaryHand","Cautious","InputDevice","RefreshRate","DeviceOS","WiFi"
632,586,582,"Sophomore",19,6,0,24,"Extremely fatigued","Low","Yes",5,"Neutral","Once a week","Several times a week","Intermediate",7,"No","No","No","Good","Right hand","Yes","Slightly cautious","Trackpad","Standard","Laptop-macOS","Stable"
441,419,394,"Junior",21,6,5,9,"Moderately fatigued","Moderate","Yes",5,"Neutral","Several times a week","Several times a month","Beginner",2,"Yes","No","No","Good","Right hand","Yes","Slightly cautious","Mouse","High","Desktopcomputer-Windows","Stable"
500,522,600,"Sophomore",20,7,7,6,"Moderately fatigued","Low","Yes",5,"Neutral","Rarely","Rarely","Beginner",5,"No","Yes","No","Excellent","Left hand","Yes","Moderately cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
527,589,629,"Senior",23,6.5,6,3.5,"Moderately fatigued","High","Yes",5,"Cold","Once a week","Never","Beginner",1,"No","No","No","Good","Right hand","Yes","Very cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
481,444,437,"Junior",23,8,8,6,"Not fatigued at all","Very Low","No",5,"Neutral","Several times a week","Rarely","Intermediate",1,"Yes","No","No","Excellent","Right hand","Yes","Moderately cautious","Mouse","Mid-Range","Laptop-Windows","Stable"
934,729,722,"Graduate student",26,7.5,10,8,"Slightly Fatigued","Moderate","Yes",5,"Neutral","Rarely","Several times a month","Beginner",0.5,"No","Yes","No","Good","Right hand","Yes","Very cautious","Trackpad","High","Laptop-macOS","Stable"
501,517,509,"Senior",22,8,7,3,"Slightly Fatigued","Low","No",5,"Neutral","Several times a week","Daily","Intermediate",15,"No","No","No","Excellent","Right hand","Yes","Moderately cautious","Mouse","High","Laptop-Windows","Stable"
526,537,541,"Sophomore",20,6,5,3,"Moderately fatigued","High","Yes",5,"Neutral","Once a week","Several times a week","None",6,"Yes","No","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
547,551,514,"Junior",21,7,5,7,"Very fatigued","Moderate","Yes",5,"Neutral","Several times a week","Several times a week","Intermediate",3,"No","Yes","No","Good","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-macOS","Stable"
652,654,532,"Junior",21,6,5,1,"Moderately fatigued","Very High","Yes",5,"Neutral","Several times a month","Several times a month","Intermediate",4,"Yes","Yes","No","Good","Right hand","Yes","Slightly cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
743,688,697,"Junior",22,6,6,6,"Slightly Fatigued","High","Yes",5,"Neutral","Rarely","Once a week","Advanced",2,"No","Yes","No","Good","Right hand","Yes","Moderately cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
605,580,600,"Junior",20,7,9,1,"Not fatigued at all","Moderate","No",6,"Neutral","Once a week","Never","Beginner",5,"No","No","No","Good","Right hand","Yes","Moderately cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
468,470,495,"Senior",21,6.5,7,6,"Moderately fatigued","Low","No",6,"Neutral","Rarely","Never","Beginner",2,"No","No","No","Excellent","Right hand","Yes","Moderately cautious","Touch screen","Standard","iPad(Tablet-IOS)","Stable"
532,450,522,"Sophomore",22,6,9,2,"Slightly Fatigued","Moderate","No",6,"Neutral","Rarely","Rarely","None",2,"Yes","No","No","Good","Right hand","Yes","Slightly cautious","Mouse","High","Laptop-Linux","Stable"
566,543,522,"Sophomore",20,7,7,15,"Very fatigued","Very Low","No",6,"Neutral","Rarely","Daily","Beginner",7,"Yes","No","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-macOS","Stable"
602,547,609,"Junior",21,8,8,12,"Slightly Fatigued","High","Yes",6,"Neutral","Several times a week","Rarely","Beginner",0,"No","No","No","Excellent","Right hand","Yes","Moderately cautious","Touch screen","Standard","iPad(Tablet-IOS)","Stable"
603,532,485,"Junior",20,6,8,11,"Very fatigued","Moderate","Yes",6,"Neutral","Several times a week","Several times a week","Intermediate",3,"Yes","Yes","No","Good","Right hand","Yes","Slightly cautious","Mouse","Standard","Laptop-Windows","Stable"
552,561,538,"Senior",23,7.5,7.75,3,"Slightly Fatigued","Low","Yes",6,"Neutral","Several times a month","Rarely","Intermediate",0,"Yes","No","No","Good","Right hand","Yes","Very cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
638,620,613,"Junior",21,7,8,5,"Slightly Fatigued","Moderate","Yes",6,"Neutral","Several times a month","Several times a week","Beginner",8,"No","Yes","No","Good","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-macOS","Stable"
547,556,562,"Sophomore",19,6,4.5,6.5,"Slightly Fatigued","Low","No",7,"Neutral","Never","Never","None",5,"No","No","No","Average","Right hand","Yes","Moderately cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
568,585,542,"Junior",21,7,7,17,"Not fatigued at all","Low","Yes",7,"Neutral","Several times a week","Rarely","None",6,"No","No","No","Excellent","Right hand","Yes","Very cautious","Trackpad","Standard","Laptop-macOS","Stable"
673,518,577,"Sophomore",19,8,5,6,"Moderately fatigued","Low","No",7,"Neutral","Rarely","Once a week","Intermediate",8,"No","No","No","Excellent","Right hand","Yes","Slightly cautious","Trackpad","High","Laptop-macOS","Unstable"
520,532,557,"Sophomore",19,8,8,4,"Slightly Fatigued","Very Low","No",7,"Neutral","Several times a week","Never","Beginner",4,"No","No","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
676,577,557,"Junior",21,7.5,6,6.5,"Slightly Fatigued","High","Yes",7,"Neutral","Never","Never","None",5,"No","Yes","No","Excellent","Right hand","Yes","Moderately cautious","Mouse","Standard","Laptop-Windows","Stable"
799,696,538,"Sophomore",20,9.5,7,5,"Moderately fatigued","Very High","Yes",7,"Neutral","Several times a month","Several times a week","Intermediate",4,"No","Yes","Yes","Good","Ambidextrous (both hands equally)","Yes","Moderately cautious","Touch screen","High","Laptop-macOS","Stable"
680,569,584,"Sophomore",20,6,6,11,"Slightly Fatigued","Very Low","No",7,"Cold","Several times a week","Several times a week","Intermediate",4,"Yes","No","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-Windows","Stable"
602,515,592,"Sophomore",18,8,8,9,"Very fatigued","High","Yes",7,"Warm","Several times a week","Rarely","Intermediate",3,"Yes","No","No","Average","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-macOS","Stable"
704,620,705,"Senior",23,7.5,6,9,"Moderately fatigued","Moderate","Yes",7,"Neutral","Several times a month","Once a week","Beginner",3,"Yes","Yes","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-macOS","Stable"
544,579,476,"Senior",22,6.75,6,14,"Moderately fatigued","Moderate","No",7,"Neutral","Several times a week","Several times a month","Intermediate",5,"Yes","No","No","Good","Right hand","Yes","Moderately cautious","Mouse","Standard","Laptop-Windows","Stable"
646,579,660,"Sophomore",19,8,7,9,"Moderately fatigued","Low","Yes",8,"Neutral","Once a week","Several times a month","Beginner",4,"No","Yes","No","Good","Left hand","Yes","Very cautious","Touch screen","Mid-Range","iPhone(Smartphone-IOS)","Stable"
400,431,389,"Sophomore",20,7,6,8,"Very fatigued","High","Yes",10,"Warm","Several times a month","Never","Advanced",0,"Yes","No","No","Good","Right hand","Yes","Very cautious","Mouse","High","Laptop-Windows","Stable"
